item_nr,zipf,log_rt
1,2.1684532900340856,6.818769453076479
2,2.642584070726298,6.516239729310993
3,1.5853166150627658,6.828907662321597
4,1.5512199486838654,6.536820892687385
5,6.353843433805741,6.024102545529257
6,4.943424687138759,6.545387107431584
7,7.441486341203563,6.302319800636686
8,4.210545419505797,6.414976396956242
9,7.507283725379966,6.124039992240299
10,6.6719631489133455,6.198315938163964
11,5.3323545754421495,6.391085928780618
12,1.384037734847516,6.932158795419151
13,6.3492672285763545,6.354429068499177
14,1.7532172177219763,6.763009426235934
15,6.381328297383152,6.1176445632253955
16,4.68372223651968,6.36117076094556
17,1.3604156675748527,6.586284302877098
18,3.280096593219787,6.5891767772669825
19,4.219979652599432,6.398116730080523
20,3.500723651237786,6.605578958068198
21,6.0379373956704505,6.1301815297940365
22,6.878044004901312,6.163216339225678
23,1.3133530873572454,6.966197037017566
24,3.9386681239819152,6.612142953800588
25,5.9920271433657035,6.383011462401578
26,1.453426200640388,6.550669513858689
27,7.500162249431014,6.1873225109180146
28,2.673150219558738,6.918830578982432
29,6.396796852839179,6.196275859330865
30,7.108581405086443,6.199403847650787
31,3.720073646260426,6.46872860851018
32,2.919282840634696,6.720680425085217
33,3.209530009655282,6.8685741552560815
34,7.075553724099882,6.1117909021151995
35,6.9632084728917105,6.076052127656742
36,2.4239736602641644,6.648087500320462
37,5.585084662493318,6.280692076081918
38,6.6201138171833005,6.303313481761742
39,5.14563082146924,6.42394118811551
40,5.349666376784444,6.288378335866632
41,7.374141049175523,6.252931779723732
42,2.9576148906489834,6.543492359954158
43,4.180093485629186,6.759347625524365
44,6.127158334734849,6.337158804994355
45,5.660660037957132,6.337422055751984
46,5.310007444256916,6.359906496691767
47,3.0921649344963953,6.681560214308188
48,5.056616113265045,6.380375223923343
49,4.037194712087512,6.403535799614534
50,3.514478985290043,6.640013007303046
